cytoband,chr,chromStart,chromEnd,band,gieStain
1q42.11,1,224100000,224600000,q42.11,gneg
1q42.12,1,224600000,227000000,q42.12,gpos25
1q42.13,1,227000000,230700000,q42.13,gneg
1q42.2,1,230700000,234700000,q42.2,gpos50
1q42.3,1,234700000,236600000,q42.3,gneg
1q43,1,236600000,243700000,q43,gpos75
1q44,1,243700000,249250621,q44,gneg
2p25.3,2,0,4400000,p25.3,gneg
2p25.2,2,4400000,7100000,p25.2,gpos50
2p25.1,2,7100000,12200000,p25.1,gneg
2p24.3,2,12200000,16700000,p24.3,gpos75
2p24.2,2,16700000,19200000,p24.2,gneg
2p24.1,2,19200000,24000000,p24.1,gpos75
2p23.3,2,24000000,27900000,p23.3,gneg
2p23.2,2,27900000,30000000,p23.2,gpos25
2p23.1,2,30000000,32100000,p23.1,gneg
2p22.3,2,32100000,36600000,p22.3,gpos75
2p22.2,2,36600000,38600000,p22.2,gneg
2p22.1,2,38600000,41800000,p22.1,gpos50
2p21,2,41800000,47800000,p21,gneg
2p16.3,2,47800000,52900000,p16.3,gpos100
2p16.2,2,52900000,55000000,p16.2,gneg
2p16.1,2,55000000,61300000,p16.1,gpos100
2p15,2,61300000,64100000,p15,gneg
2p14,2,64100000,68600000,p14,gpos50
2p13.3,2,68600000,71500000,p13.3,gneg
2p13.2,2,71500000,73500000,p13.2,gpos50
2p13.1,2,73500000,75000000,p13.1,gneg
2p12,2,75000000,83300000,p12,gpos100
2p11.2,2,83300000,90500000,p11.2,gneg
2p11.1,2,90500000,93300000,p11.1,acen
2q11.1,2,93300000,96800000,q11.1,acen
2q11.2,2,96800000,102700000,q11.2,gneg
2q12.1,2,102700000,106000000,q12.1,gpos50
2q12.2,2,106000000,107500000,q12.2,gneg
2q12.3,2,107500000,110200000,q12.3,gpos25
2q13,2,110200000,114400000,q13,gneg
2q14.1,2,114400000,118800000,q14.1,gpos50
2q14.2,2,118800000,122400000,q14.2,gneg
2q14.3,2,122400000,129900000,q14.3,gpos50
2q21.1,2,129900000,132500000,q21.1,gneg
2q21.2,2,132500000,135100000,q21.2,gpos25
2q21.3,2,135100000,136800000,q21.3,gneg
2q22.1,2,136800000,142200000,q22.1,gpos100
2q22.2,2,142200000,144100000,q22.2,gneg
2q22.3,2,144100000,148700000,q22.3,gpos100
2q23.1,2,148700000,149900000,q23.1,gneg
2q23.2,2,149900000,150500000,q23.2,gpos25
2q23.3,2,150500000,154900000,q23.3,gneg
2q24.1,2,154900000,159800000,q24.1,gpos75
2q24.2,2,159800000,163700000,q24.2,gneg
2q24.3,2,163700000,169700000,q24.3,gpos75
2q31.1,2,169700000,178000000,q31.1,gneg
2q31.2,2,178000000,180600000,q31.2,gpos50
2q31.3,2,180600000,183000000,q31.3,gneg
2q32.1,2,183000000,189400000,q32.1,gpos75
2q32.2,2,189400000,191900000,q32.2,gneg
2q32.3,2,191900000,197400000,q32.3,gpos75
2q33.1,2,197400000,203300000,q33.1,gneg
2q33.2,2,203300000,204900000,q33.2,gpos50
2q33.3,2,204900000,209000000,q33.3,gneg
2q34,2,209000000,215300000,q34,gpos100
2q35,2,215300000,221500000,q35,gneg
2q36.1,2,221500000,225200000,q36.1,gpos75
2q36.2,2,225200000,226100000,q36.2,gneg
2q36.3,2,226100000,231000000,q36.3,gpos100
2q37.1,2,231000000,235600000,q37.1,gneg
2q37.2,2,235600000,237300000,q37.2,gpos50
2q37.3,2,237300000,243199373,q37.3,gneg
3p26.3,3,0,2800000,p26.3,gpos50
3p26.2,3,2800000,4000000,p26.2,gneg
3p26.1,3,4000000,8700000,p26.1,gpos50
3p25.3,3,8700000,11800000,p25.3,gneg
3p25.2,3,11800000,13300000,p25.2,gpos25
3p25.1,3,13300000,16400000,p25.1,gneg
3p24.3,3,16400000,23900000,p24.3,gpos100
3p24.2,3,23900000,26400000,p24.2,gneg
3p24.1,3,26400000,30900000,p24.1,gpos75
3p23,3,30900000,32100000,p23,gneg
3p22.3,3,32100000,36500000,p22.3,gpos50
3p22.2,3,36500000,39400000,p22.2,gneg
3p22.1,3,39400000,43700000,p22.1,gpos75
3p21.33,3,43700000,44100000,p21.33,gneg
3p21.32,3,44100000,44200000,p21.32,gpos50
3p21.31,3,44200000,50600000,p21.31,gneg
3p21.2,3,50600000,52300000,p21.2,gpos25
3p21.1,3,52300000,54400000,p21.1,gneg
3p14.3,3,54400000,58600000,p14.3,gpos50
3p14.2,3,58600000,63700000,p14.2,gneg
3p14.1,3,63700000,69800000,p14.1,gpos50
3p13,3,69800000,74200000,p13,gneg
3p12.3,3,74200000,79800000,p12.3,gpos75
3p12.2,3,79800000,83500000,p12.2,gneg
3p12.1,3,83500000,87200000,p12.1,gpos75
3p11.2,3,87200000,87900000,p11.2,gneg
3p11.1,3,87900000,91000000,p11.1,acen
3q11.1,3,91000000,93900000,q11.1,acen
3q11.2,3,93900000,98300000,q11.2,gvar
3q12.1,3,98300000,100000000,q12.1,gneg
3q12.2,3,100000000,100900000,q12.2,gpos25
3q12.3,3,100900000,102800000,q12.3,gneg
3q13.11,3,102800000,106200000,q13.11,gpos75
3q13.12,3,106200000,107900000,q13.12,gneg
3q13.13,3,107900000,111300000,q13.13,gpos50
3q13.2,3,111300000,113500000,q13.2,gneg
3q13.31,3,113500000,117300000,q13.31,gpos75
3q13.32,3,117300000,119000000,q13.32,gneg
3q13.33,3,119000000,121900000,q13.33,gpos75
3q21.1,3,121900000,123800000,q21.1,gneg
3q21.2,3,123800000,125800000,q21.2,gpos25
3q21.3,3,125800000,129200000,q21.3,gneg
3q22.1,3,129200000,133700000,q22.1,gpos25
3q22.2,3,133700000,135700000,q22.2,gneg
3q22.3,3,135700000,138700000,q22.3,gpos25
3q23,3,138700000,142800000,q23,gneg
3q24,3,142800000,148900000,q24,gpos100
3q25.1,3,148900000,152100000,q25.1,gneg
3q25.2,3,152100000,155000000,q25.2,gpos50
3q25.31,3,155000000,157000000,q25.31,gneg
3q25.32,3,157000000,159000000,q25.32,gpos50
3q25.33,3,159000000,160700000,q25.33,gneg
3q26.1,3,160700000,167600000,q26.1,gpos100
3q26.2,3,167600000,170900000,q26.2,gneg
3q26.31,3,170900000,175700000,q26.31,gpos75
3q26.32,3,175700000,179000000,q26.32,gneg
3q26.33,3,179000000,182700000,q26.33,gpos75
3q27.1,3,182700000,184500000,q27.1,gneg
3q27.2,3,184500000,186000000,q27.2,gpos25
3q27.3,3,186000000,187900000,q27.3,gneg
3q28,3,187900000,192300000,q28,gpos75
3q29,3,192300000,198022430,q29,gneg
4p16.3,4,0,4500000,p16.3,gneg
4p16.2,4,4500000,6000000,p16.2,gpos25
4p16.1,4,6000000,11300000,p16.1,gneg
4p15.33,4,11300000,15200000,p15.33,gpos50
4p15.32,4,15200000,17800000,p15.32,gneg
4p15.31,4,17800000,21300000,p15.31,gpos75
4p15.2,4,21300000,27700000,p15.2,gneg
4p15.1,4,27700000,35800000,p15.1,gpos100
4p14,4,35800000,41200000,p14,gneg
4p13,4,41200000,44600000,p13,gpos50
4p12,4,44600000,48200000,p12,gneg
4p11,4,48200000,50400000,p11,acen
4q11,4,50400000,52700000,q11,acen
4q12,4,52700000,59500000,q12,gneg
4q13.1,4,59500000,66600000,q13.1,gpos100
4q13.2,4,66600000,70500000,q13.2,gneg
4q13.3,4,70500000,76300000,q13.3,gpos75
4q21.1,4,76300000,78900000,q21.1,gneg
4q21.21,4,78900000,82400000,q21.21,gpos50
4q21.22,4,82400000,84100000,q21.22,gneg
4q21.23,4,84100000,86900000,q21.23,gpos25
4q21.3,4,86900000,88000000,q21.3,gneg
4q22.1,4,88000000,93700000,q22.1,gpos75
4q22.2,4,93700000,95100000,q22.2,gneg
4q22.3,4,95100000,98800000,q22.3,gpos75
4q23,4,98800000,101100000,q23,gneg
4q24,4,101100000,107700000,q24,gpos50
4q25,4,107700000,114100000,q25,gneg
4q26,4,114100000,120800000,q26,gpos75
4q27,4,120800000,123800000,q27,gneg
4q28.1,4,123800000,128800000,q28.1,gpos50
4q28.2,4,128800000,131100000,q28.2,gneg
4q28.3,4,131100000,139500000,q28.3,gpos100
4q31.1,4,139500000,141500000,q31.1,gneg
4q31.21,4,141500000,146800000,q31.21,gpos25
4q31.22,4,146800000,148500000,q31.22,gneg
4q31.23,4,148500000,151100000,q31.23,gpos25
4q31.3,4,151100000,155600000,q31.3,gneg
4q32.1,4,155600000,161800000,q32.1,gpos100
4q32.2,4,161800000,164500000,q32.2,gneg
4q32.3,4,164500000,170100000,q32.3,gpos100
4q33,4,170100000,171900000,q33,gneg
4q34.1,4,171900000,176300000,q34.1,gpos75
4q34.2,4,176300000,177500000,q34.2,gneg
4q34.3,4,177500000,183200000,q34.3,gpos100
4q35.1,4,183200000,187100000,q35.1,gneg
4q35.2,4,187100000,191154276,q35.2,gpos25
5p15.33,5,0,4500000,p15.33,gneg
5p15.32,5,4500000,6300000,p15.32,gpos25
5p15.31,5,6300000,9800000,p15.31,gneg
5p15.2,5,9800000,15000000,p15.2,gpos50
5p15.1,5,15000000,18400000,p15.1,gneg
5p14.3,5,18400000,23300000,p14.3,gpos100
5p14.2,5,23300000,24600000,p14.2,gneg
5p14.1,5,24600000,28900000,p14.1,gpos100
5p13.3,5,28900000,33800000,p13.3,gneg
5p13.2,5,33800000,38400000,p13.2,gpos25
5p13.1,5,38400000,42500000,p13.1,gneg
5p12,5,42500000,46100000,p12,gpos50
5p11,5,46100000,48400000,p11,acen
5q11.1,5,48400000,50700000,q11.1,acen
5q11.2,5,50700000,58900000,q11.2,gneg
5q12.1,5,58900000,62900000,q12.1,gpos75
5q12.2,5,62900000,63200000,q12.2,gneg
5q12.3,5,63200000,66700000,q12.3,gpos75
5q13.1,5,66700000,68400000,q13.1,gneg
5q13.2,5,68400000,73300000,q13.2,gpos50
5q13.3,5,73300000,76900000,q13.3,gneg
5q14.1,5,76900000,81400000,q14.1,gpos50
5q14.2,5,81400000,82800000,q14.2,gneg
5q14.3,5,82800000,92300000,q14.3,gpos100
5q15,5,92300000,98200000,q15,gneg
5q21.1,5,98200000,102800000,q21.1,gpos100
5q21.2,5,102800000,104500000,q21.2,gneg
5q21.3,5,104500000,109600000,q21.3,gpos100
5q22.1,5,109600000,111500000,q22.1,gneg
5q22.2,5,111500000,113100000,q22.2,gpos50
5q22.3,5,113100000,115200000,q22.3,gneg
5q23.1,5,115200000,121400000,q23.1,gpos100
5q23.2,5,121400000,127300000,q23.2,gneg
5q23.3,5,127300000,130600000,q23.3,gpos100
5q31.1,5,130600000,136200000,q31.1,gneg
5q31.2,5,136200000,139500000,q31.2,gpos25
5q31.3,5,139500000,144500000,q31.3,gneg
5q32,5,144500000,149800000,q32,gpos75
5q33.1,5,149800000,152700000,q33.1,gneg
5q33.2,5,152700000,155700000,q33.2,gpos50
5q33.3,5,155700000,159900000,q33.3,gneg
5q34,5,159900000,168500000,q34,gpos100
5q35.1,5,168500000,172800000,q35.1,gneg
5q35.2,5,172800000,176600000,q35.2,gpos25
5q35.3,5,176600000,180915260,q35.3,gneg
6p25.3,6,0,2300000,p25.3,gneg
6p25.2,6,2300000,4200000,p25.2,gpos25
6p25.1,6,4200000,7100000,p25.1,gneg
6p24.3,6,7100000,10600000,p24.3,gpos50
6p24.2,6,10600000,11600000,p24.2,gneg
6p24.1,6,11600000,13400000,p24.1,gpos25
6p23,6,13400000,15200000,p23,gneg
6p22.3,6,15200000,25200000,p22.3,gpos75
6p22.2,6,25200000,27000000,p22.2,gneg
6p22.1,6,27000000,30400000,p22.1,gpos50
6p21.33,6,30400000,32100000,p21.33,gneg
6p21.32,6,32100000,33500000,p21.32,gpos25
6p21.31,6,33500000,36600000,p21.31,gneg
6p21.2,6,36600000,40500000,p21.2,gpos25
6p21.1,6,40500000,46200000,p21.1,gneg
6p12.3,6,46200000,51800000,p12.3,gpos100
6p12.2,6,51800000,52900000,p12.2,gneg
6p12.1,6,52900000,57000000,p12.1,gpos100
6p11.2,6,57000000,58700000,p11.2,gneg
6p11.1,6,58700000,61000000,p11.1,acen
6q11.1,6,61000000,63300000,q11.1,acen
6q11.2,6,63300000,63400000,q11.2,gneg
6q12,6,63400000,70000000,q12,gpos100
6q13,6,70000000,75900000,q13,gneg
6q14.1,6,75900000,83900000,q14.1,gpos50
6q14.2,6,83900000,84900000,q14.2,gneg
6q14.3,6,84900000,88000000,q14.3,gpos50
6q15,6,88000000,93100000,q15,gneg
6q16.1,6,93100000,99500000,q16.1,gpos100
6q16.2,6,99500000,100600000,q16.2,gneg
6q16.3,6,100600000,105500000,q16.3,gpos100
6q21,6,105500000,114600000,q21,gneg
6q22.1,6,114600000,118300000,q22.1,gpos75
6q22.2,6,118300000,118500000,q22.2,gneg
6q22.31,6,118500000,126100000,q22.31,gpos100
6q22.32,6,126100000,127100000,q22.32,gneg
6q22.33,6,127100000,130300000,q22.33,gpos75
6q23.1,6,130300000,131200000,q23.1,gneg
6q23.2,6,131200000,135200000,q23.2,gpos50
6q23.3,6,135200000,139000000,q23.3,gneg
6q24.1,6,139000000,142800000,q24.1,gpos75
6q24.2,6,142800000,145600000,q24.2,gneg
6q24.3,6,145600000,149000000,q24.3,gpos75
6q25.1,6,149000000,152500000,q25.1,gneg
6q25.2,6,152500000,155500000,q25.2,gpos50
6q25.3,6,155500000,161000000,q25.3,gneg
6q26,6,161000000,164500000,q26,gpos50
6q27,6,164500000,171115067,q27,gneg
7p22.3,7,0,2800000,p22.3,gneg
7p22.2,7,2800000,4500000,p22.2,gpos25
7p22.1,7,4500000,7300000,p22.1,gneg
7p21.3,7,7300000,13800000,p21.3,gpos100
7p21.2,7,13800000,16500000,p21.2,gneg
7p21.1,7,16500000,20900000,p21.1,gpos100
7p15.3,7,20900000,25500000,p15.3,gneg
7p15.2,7,25500000,28000000,p15.2,gpos50
7p15.1,7,28000000,28800000,p15.1,gneg
7p14.3,7,28800000,35000000,p14.3,gpos75
7p14.2,7,35000000,37200000,p14.2,gneg
7p14.1,7,37200000,43300000,p14.1,gpos75
7p13,7,43300000,45400000,p13,gneg
7p12.3,7,45400000,49000000,p12.3,gpos75
7p12.2,7,49000000,50500000,p12.2,gneg
7p12.1,7,50500000,54000000,p12.1,gpos75
7p11.2,7,54000000,58000000,p11.2,gneg
7p11.1,7,58000000,59900000,p11.1,acen
7q11.1,7,59900000,61700000,q11.1,acen
7q11.21,7,61700000,67000000,q11.21,gneg
7q11.22,7,67000000,72200000,q11.22,gpos50
7q11.23,7,72200000,77500000,q11.23,gneg
7q21.11,7,77500000,86400000,q21.11,gpos100
7q21.12,7,86400000,88200000,q21.12,gneg
7q21.13,7,88200000,91100000,q21.13,gpos75
7q21.2,7,91100000,92800000,q21.2,gneg
7q21.3,7,92800000,98000000,q21.3,gpos75
7q22.1,7,98000000,103800000,q22.1,gneg
7q22.2,7,103800000,104500000,q22.2,gpos50
7q22.3,7,104500000,107400000,q22.3,gneg
7q31.1,7,107400000,114600000,q31.1,gpos75
7q31.2,7,114600000,117400000,q31.2,gneg
7q31.31,7,117400000,121100000,q31.31,gpos75
7q31.32,7,121100000,123800000,q31.32,gneg
7q31.33,7,123800000,127100000,q31.33,gpos75
7q32.1,7,127100000,129200000,q32.1,gneg
7q32.2,7,129200000,130400000,q32.2,gpos25
7q32.3,7,130400000,132600000,q32.3,gneg
7q33,7,132600000,138200000,q33,gpos50
7q34,7,138200000,143100000,q34,gneg
7q35,7,143100000,147900000,q35,gpos75
7q36.1,7,147900000,152600000,q36.1,gneg
7q36.2,7,152600000,155100000,q36.2,gpos25
7q36.3,7,155100000,159138663,q36.3,gneg
8p23.3,8,0,2200000,p23.3,gneg
8p23.2,8,2200000,6200000,p23.2,gpos75
8p23.1,8,6200000,12700000,p23.1,gneg
8p22,8,12700000,19000000,p22,gpos100
8p21.3,8,19000000,23300000,p21.3,gneg
8p21.2,8,23300000,27400000,p21.2,gpos50
8p21.1,8,27400000,28800000,p21.1,gneg
8p12,8,28800000,36500000,p12,gpos75
8p11.23,8,36500000,38300000,p11.23,gneg
8p11.22,8,38300000,39700000,p11.22,gpos25
8p11.21,8,39700000,43100000,p11.21,gneg
8p11.1,8,43100000,45600000,p11.1,acen
8q11.1,8,45600000,48100000,q11.1,acen
8q11.21,8,48100000,52200000,q11.21,gneg
8q11.22,8,52200000,52600000,q11.22,gpos75
8q11.23,8,52600000,55500000,q11.23,gneg
8q12.1,8,55500000,61600000,q12.1,gpos50
8q12.2,8,61600000,62200000,q12.2,gneg
8q12.3,8,62200000,66000000,q12.3,gpos50
8q13.1,8,66000000,68000000,q13.1,gneg
8q13.2,8,68000000,70500000,q13.2,gpos50
8q13.3,8,70500000,73900000,q13.3,gneg
8q21.11,8,73900000,78300000,q21.11,gpos100
8q21.12,8,78300000,80100000,q21.12,gneg
8q21.13,8,80100000,84600000,q21.13,gpos75
8q21.2,8,84600000,86900000,q21.2,gneg
8q21.3,8,86900000,93300000,q21.3,gpos100
8q22.1,8,93300000,99000000,q22.1,gneg
8q22.2,8,99000000,101600000,q22.2,gpos25
8q22.3,8,101600000,106200000,q22.3,gneg
8q23.1,8,106200000,110500000,q23.1,gpos75
8q23.2,8,110500000,112100000,q23.2,gneg
8q23.3,8,112100000,117700000,q23.3,gpos100
8q24.11,8,117700000,119200000,q24.11,gneg
8q24.12,8,119200000,122500000,q24.12,gpos50
8q24.13,8,122500000,127300000,q24.13,gneg
8q24.21,8,127300000,131500000,q24.21,gpos50
8q24.22,8,131500000,136400000,q24.22,gneg
8q24.23,8,136400000,139900000,q24.23,gpos75
8q24.3,8,139900000,146364022,q24.3,gneg
9p24.3,9,0,2200000,p24.3,gneg
9p24.2,9,2200000,4600000,p24.2,gpos25
9p24.1,9,4600000,9000000,p24.1,gneg
9p23,9,9000000,14200000,p23,gpos75
9p22.3,9,14200000,16600000,p22.3,gneg
9p22.2,9,16600000,18500000,p22.2,gpos25
9p22.1,9,18500000,19900000,p22.1,gneg
9p21.3,9,19900000,25600000,p21.3,gpos100
9p21.2,9,25600000,28000000,p21.2,gneg
9p21.1,9,28000000,33200000,p21.1,gpos100
9p13.3,9,33200000,36300000,p13.3,gneg
9p13.2,9,36300000,38400000,p13.2,gpos25
9p13.1,9,38400000,41000000,p13.1,gneg
9p12,9,41000000,43600000,p12,gpos50
9p11.2,9,43600000,47300000,p11.2,gneg
9p11.1,9,47300000,49000000,p11.1,acen
9q11,9,49000000,50700000,q11,acen
9q12,9,50700000,65900000,q12,gvar
9q13,9,65900000,68700000,q13,gneg
9q21.11,9,68700000,72200000,q21.11,gpos25
9q21.12,9,72200000,74000000,q21.12,gneg
9q21.13,9,74000000,79200000,q21.13,gpos50
9q21.2,9,79200000,81100000,q21.2,gneg
9q21.31,9,81100000,84100000,q21.31,gpos50
9q21.32,9,84100000,86900000,q21.32,gneg
9q21.33,9,86900000,90400000,q21.33,gpos50
9q22.1,9,90400000,91800000,q22.1,gneg
9q22.2,9,91800000,93900000,q22.2,gpos25
9q22.31,9,93900000,96600000,q22.31,gneg
9q22.32,9,96600000,99300000,q22.32,gpos25
9q22.33,9,99300000,102600000,q22.33,gneg
9q31.1,9,102600000,108200000,q31.1,gpos100
9q31.2,9,108200000,111300000,q31.2,gneg
9q31.3,9,111300000,114900000,q31.3,gpos25
9q32,9,114900000,117700000,q32,gneg
9q33.1,9,117700000,122500000,q33.1,gpos75
9q33.2,9,122500000,125800000,q33.2,gneg
9q33.3,9,125800000,130300000,q33.3,gpos25
9q34.11,9,130300000,133500000,q34.11,gneg
9q34.12,9,133500000,134000000,q34.12,gpos25
9q34.13,9,134000000,135900000,q34.13,gneg
9q34.2,9,135900000,137400000,q34.2,gpos25
9q34.3,9,137400000,141213431,q34.3,gneg
23p22.33,23,0,4300000,p22.33,gneg
23p22.32,23,4300000,6000000,p22.32,gpos50
23p22.31,23,6000000,9500000,p22.31,gneg
23p22.2,23,9500000,17100000,p22.2,gpos50
23p22.13,23,17100000,19300000,p22.13,gneg
23p22.12,23,19300000,21900000,p22.12,gpos50
23p22.11,23,21900000,24900000,p22.11,gneg
23p21.3,23,24900000,29300000,p21.3,gpos100
23p21.2,23,29300000,31500000,p21.2,gneg
23p21.1,23,31500000,37600000,p21.1,gpos100
23p11.4,23,37600000,42400000,p11.4,gneg
23p11.3,23,42400000,46400000,p11.3,gpos75
23p11.23,23,46400000,49800000,p11.23,gneg
23p11.22,23,49800000,54800000,p11.22,gpos25
23p11.21,23,54800000,58100000,p11.21,gneg
23p11.1,23,58100000,60600000,p11.1,acen
23q11.1,23,60600000,63000000,q11.1,acen
23q11.2,23,63000000,64600000,q11.2,gneg
23q12,23,64600000,67800000,q12,gpos50
23q13.1,23,67800000,71800000,q13.1,gneg
23q13.2,23,71800000,73900000,q13.2,gpos50
23q13.3,23,73900000,76000000,q13.3,gneg
23q21.1,23,76000000,84600000,q21.1,gpos100
23q21.2,23,84600000,86200000,q21.2,gneg
23q21.31,23,86200000,91800000,q21.31,gpos100
23q21.32,23,91800000,93500000,q21.32,gneg
23q21.33,23,93500000,98300000,q21.33,gpos75
23q22.1,23,98300000,102600000,q22.1,gneg
23q22.2,23,102600000,103700000,q22.2,gpos50
23q22.3,23,103700000,108700000,q22.3,gneg
23q23,23,108700000,116500000,q23,gpos75
23q24,23,116500000,120900000,q24,gneg
23q25,23,120900000,128700000,q25,gpos100
23q26.1,23,128700000,130400000,q26.1,gneg
23q26.2,23,130400000,133600000,q26.2,gpos25
23q26.3,23,133600000,138000000,q26.3,gneg
23q27.1,23,138000000,140300000,q27.1,gpos75
23q27.2,23,140300000,142100000,q27.2,gneg
23q27.3,23,142100000,147100000,q27.3,gpos100
23q28,23,147100000,155270560,q28,gneg
24p11.32,24,0,2500000,p11.32,gneg
24p11.31,24,2500000,3000000,p11.31,gpos50
24p11.2,24,3000000,11600000,p11.2,gneg
24p11.1,24,11600000,12500000,p11.1,acen
24q11.1,24,12500000,13400000,q11.1,acen
24q11.21,24,13400000,15100000,q11.21,gneg
24q11.221,24,15100000,19800000,q11.221,gpos50
24q11.222,24,19800000,22100000,q11.222,gneg
24q11.223,24,22100000,26200000,q11.223,gpos50
24q11.23,24,26200000,28800000,q11.23,gneg
24q12,24,28800000,59373566,q12,gvar
10p15.3,10,0,3000000,p15.3,gneg
10p15.2,10,3000000,3800000,p15.2,gpos25
10p15.1,10,3800000,6600000,p15.1,gneg
10p14,10,6600000,12200000,p14,gpos75
10p13,10,12200000,17300000,p13,gneg
10p12.33,10,17300000,18600000,p12.33,gpos75
10p12.32,10,18600000,18700000,p12.32,gneg
10p12.31,10,18700000,22600000,p12.31,gpos75
10p12.2,10,22600000,24600000,p12.2,gneg
10p12.1,10,24600000,29600000,p12.1,gpos50
10p11.23,10,29600000,31300000,p11.23,gneg
10p11.22,10,31300000,34400000,p11.22,gpos25
10p11.21,10,34400000,38000000,p11.21,gneg
10p11.1,10,38000000,40200000,p11.1,acen
10q11.1,10,40200000,42300000,q11.1,acen
10q11.21,10,42300000,46100000,q11.21,gneg
10q11.22,10,46100000,49900000,q11.22,gpos25
10q11.23,10,49900000,52900000,q11.23,gneg
10q21.1,10,52900000,61200000,q21.1,gpos100
10q21.2,10,61200000,64500000,q21.2,gneg
10q21.3,10,64500000,70600000,q21.3,gpos100
10q22.1,10,70600000,74900000,q22.1,gneg
10q22.2,10,74900000,77700000,q22.2,gpos50
10q22.3,10,77700000,82000000,q22.3,gneg
10q23.1,10,82000000,87900000,q23.1,gpos100
10q23.2,10,87900000,89500000,q23.2,gneg
10q23.31,10,89500000,92900000,q23.31,gpos75
10q23.32,10,92900000,94100000,q23.32,gneg
10q23.33,10,94100000,97000000,q23.33,gpos50
10q24.1,10,97000000,99300000,q24.1,gneg
10q24.2,10,99300000,101900000,q24.2,gpos50
10q24.31,10,101900000,103000000,q24.31,gneg
10q24.32,10,103000000,104900000,q24.32,gpos25
10q24.33,10,104900000,105800000,q24.33,gneg
10q25.1,10,105800000,111900000,q25.1,gpos100
10q25.2,10,111900000,114900000,q25.2,gneg
10q25.3,10,114900000,119100000,q25.3,gpos75
10q26.11,10,119100000,121700000,q26.11,gneg
10q26.12,10,121700000,123100000,q26.12,gpos50
10q26.13,10,123100000,127500000,q26.13,gneg
10q26.2,10,127500000,130600000,q26.2,gpos50
10q26.3,10,130600000,135534747,q26.3,gneg
11p15.5,11,0,2800000,p15.5,gneg
11p15.4,11,2800000,10700000,p15.4,gpos50
11p15.3,11,10700000,12700000,p15.3,gneg
11p15.2,11,12700000,16200000,p15.2,gpos50
11p15.1,11,16200000,21700000,p15.1,gneg
11p14.3,11,21700000,26100000,p14.3,gpos100
11p14.2,11,26100000,27200000,p14.2,gneg
11p14.1,11,27200000,31000000,p14.1,gpos75
11p13,11,31000000,36400000,p13,gneg
11p12,11,36400000,43500000,p12,gpos100
11p11.2,11,43500000,48800000,p11.2,gneg
11p11.12,11,48800000,51600000,p11.12,gpos75
11p11.11,11,51600000,53700000,p11.11,acen
